1, a, north
1, a, north
1, a, north
1, a, north
1, a, north
1, b, north
1, b, west
1, b, south
1, b, east
2, b, east
2, b, north
2, c, north
2, d, north
2, e, north
2, e, west
1, e, west
1, e, north
1, e, west
1, e, south
1, d, south
1, d, east
1, d, north
1, d, west
1, d, south
1, c, south
1, c, east
1, c, north
1, c, west
1, c, south
1, c, east
1, c, north
1, d, north
1, d, east
1, d, north
1, e, north
1, e, east
2, e, east
2, e, south
2, e, east
3, e, east
3, e, north
3, e, west
3, e, south
3, d, south
3, d, east
3, d, north
1, a, north
1, b, north
1, b, west
1, b, south
1, b, east
2, b, east
2, b, north
2, c, north
2, d, north
2, e, north
2, e, west
1, e, west
1, e, north
1, e, west
1, e, south
1, d, south
1, d, east
1, d, north
1, d, west
1, d, south
1, c, south
1, c, east
1, c, north
1, c, west
1, c, south
1, c, east
1, c, north
1, d, north
1, d, east
1, d, north
1, e, north
1, e, east
2, e, east
2, e, south
2, e, east
3, e, east
3, e, north
3, e, west
3, e, south
3, d, south
3, d, east
3, d, north
1, a, north
1, b, north
1, b, west
1, b, south
1, b, east
2, b, east
2, b, north
2, c, north
2, d, north
2, e, north
2, e, west
1, e, west
1, e, north
1, e, west
1, e, south
1, d, south
1, d, east
1, d, north
1, d, west
1, d, south
1, c, south
1, c, east
1, c, north
1, c, west
1, c, south
1, c, east
1, c, north
1, d, north
1, d, east
1, d, north
1, e, north
1, e, east
2, e, east
2, e, south
2, e, east
3, e, east
3, e, north
3, e, west
3, e, south
3, d, south
3, d, east
3, d, north
1, a, east
1, a, east
1, a, north
1, b, north
1, b, west
1, b, south
1, b, east
2, b, east
2, b, north
2, c, north
2, d, north
2, e, north
2, e, west
1, e, west
1, e, north
1, e, west
1, e, south
1, d, south
1, d, east
1, d, north
1, d, west
1, d, south
1, c, south
1, c, east
1, c, north
1, c, west
1, c, south
1, c, east
1, c, north
1, d, north
1, d, east
1, d, north
1, e, north
1, e, east
2, e, east
2, e, south
2, e, east
3, e, east
3, e, north
3, e, west
3, e, south
3, d, south
3, d, east
3, d, north
1, a, north
1, b, north
1, b, west
1, b, south
1, b, east
2, b, east
2, b, north
2, c, north
2, d, north
2, e, north
2, e, west
1, e, west
1, e, north
1, e, west
1, e, south
1, d, south
1, d, east
1, d, north
1, d, west
1, d, south
1, c, south
1, c, east
1, c, north
1, c, west
1, c, south
1, c, east
1, c, north
1, d, north
1, d, east
1, d, north
1, e, north
1, e, east
2, e, east
2, e, south
2, e, east
3, e, east
3, e, north
3, e, west
3, e, south
3, d, south
3, d, east
3, d, north
1, a, north
1, b, north
1, b, west
1, b, south
1, b, east
2, b, east
2, b, north
2, c, north
2, d, north
2, e, north
2, e, west
1, e, west
1, e, north
1, e, west
1, e, south
1, d, south
1, d, east
1, d, north
1, d, west
1, d, south
1, c, south
1, c, east
1, c, north
1, c, west
1, c, south
1, c, east
1, c, north
1, d, north
1, d, east
1, d, north
1, e, north
1, e, east
2, e, east
2, e, south
2, e, east
3, e, east
3, e, north
3, e, west
3, e, south
3, d, south
3, d, east
3, d, north
1, a, north
1, b, north
1, b, west
1, b, south
1, b, east
2, b, east
2, b, north
2, c, north
2, d, north
2, e, north
2, e, west
1, e, west
1, e, north
1, e, west
1, e, south
1, d, south
1, d, east
1, d, north
1, d, west
1, d, south
1, c, south
1, c, east
1, c, north
1, c, west
1, c, south
1, c, east
1, c, north
1, d, north
1, d, east
1, d, north
1, e, north
1, e, east
2, e, east
2, e, south
2, e, east
3, e, east
3, e, north
3, e, west
3, e, south
3, d, south
3, d, east
3, d, north
1, a, north
1, b, north
1, b, west
1, b, south
1, b, east
2, b, east
2, b, north
2, c, north
2, d, north
2, e, north
2, e, west
1, e, west
1, e, north
1, e, west
1, e, south
1, d, south
1, d, east
1, d, north
1, d, west
