robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 2, a, east
robot_A => 2, a, north
robot_A => 2, a, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, c, north
robot_A => 2, c, north
robot_A => 2, d, north
robot_A => 2, d, north
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 2, d, north
robot_A => 2, d, north
robot_A => 2, e, north
robot_A => 2, e, east
robot_A => 2, e, east
robot_A => 3, e, east
robot_A => 3, e, south
robot_A => 3, e, south
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 3, d, east
robot_A => 4, d, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 2, a, east
robot_A => 2, a, north
robot_A => 2, a, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, c, north
robot_A => 2, c, north
robot_A => 2, d, north
robot_A => 2, d, north
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, east
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 2, a, east
robot_A => 2, a, north
robot_A => 2, a, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, b, north
robot_A => 2, c, north
robot_A => 2, c, north
robot_A => 2, d, north
robot_A => 2, d, north
robot_A => 2, d, east
robot_A => 2, d, east
robot_A => 1, a, north
robot_B => 5, e, south
robot_A => 1, a, north
robot_B => 5, e, south
robot_A => 1, a, east
robot_B => 5, e, west
robot_A => 1, a, east
robot_B => 5, e, west
robot_A => 2, a, east
robot_B => 4, e, west
robot_A => 2, a, east
robot_B => 4, e, south
robot_B => 4, e, south
robot_A => 2, a, north
robot_B => 4, d, south
robot_A => 2, a, north
robot_A => 2, b, north
robot_B => 4, d, south
robot_A => 2, b, north
robot_B => 4, c, south
robot_B => 4, c, south
robot_A => 2, b, north
robot_A => 2, c, north
robot_B => 4, c, west
robot_B => 4, c, west
robot_A => 2, c, north
robot_A => 2, d, north
robot_B => 3, c, west
robot_A => 2, d, north
robot_B => 3, c, west
robot_A => 2, d, east
robot_A => 2, d, east
robot_B => 3, c, west
robot_A => 2, d, north
robot_B => 2, c, west
robot_A => 2, d, north
robot_A => 2, e, north
robot_A => 2, e, east
robot_B => 2, c, west
robot_A => 2, e, east
robot_B => 2, c, south
robot_A => 3, e, east
robot_B => 2, c, south
robot_A => 3, e, south
robot_B => 2, b, south
robot_A => 3, e, south
robot_B => 2, b, east
robot_A => 3, d, south
robot_B => 2, b, east
robot_A => 3, d, east
robot_B => 3, b, east
robot_A => 3, d, east
robot_A => 4, d, east
robot_B => 3, b, east
robot_B => 4, b, east
robot_A => 4, d, east
robot_A => 5, d, east
robot_B => 4, b, east
robot_B => 5, b, east
robot_B => 5, e, south
robot_B => 5, e, south
robot_B => 5, e, west
robot_B => 5, e, west
robot_B => 4, e, west
robot_B => 4, e, south
robot_A => 1, a, north
robot_A => 1, a, north
robot_B => 4, e, south
robot_B => 4, d, south
robot_A => 1, a, east
robot_A => 1, a, east
robot_B => 4, d, south
robot_A => 2, a, east
robot_B => 4, c, south
robot_A => 2, a, east
robot_B => 4, c, south
robot_A => 2, a, north
robot_B => 4, c, west
robot_A => 2, a, north
robot_B => 4, c, west
robot_A => 2, b, north
robot_B => 3, c, west
robot_A => 2, b, north
robot_B => 3, c, west
robot_A => 2, b, north
robot_B => 3, c, west
robot_A => 2, c, north
robot_B => 2, c, west
robot_A => 2, c, north
robot_B => 2, c, west
robot_A => 2, d, north
robot_B => 2, c, west
robot_A => 2, d, north
robot_B => 2, c, west
robot_A => 2, d, east
robot_B => 2, c, south
robot_B => 2, c, south
robot_A => 2, d, east
robot_B => 2, b, south
robot_A => 2, d, north
robot_B => 2, b, east
robot_A => 2, d, north
robot_B => 2, b, east
robot_A => 2, e, north
robot_B => 3, b, east
robot_A => 2, e, east
robot_B => 3, b, east
robot_A => 2, e, east
robot_A => 3, e, east
robot_B => 4, b, east
robot_A => 3, e, south
robot_B => 4, b, east
robot_A => 3, e, south
robot_B => 5, b, east
robot_A => 3, d, south
robot_A => 3, d, east
robot_A => 3, d, east
