robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, south
robot_B => 2, f, south
robot_B => 2, e, south
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, south
robot_B => 2, f, south
robot_B => 2, e, south
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, south
robot_B => 2, f, south
robot_B => 2, e, south
robot_B => 2, e, west
robot_B => 2, e, north
robot_B => 2, e, north
robot_B => 2, f, north
robot_B => 2, f, south
robot_B => 2, f, south
robot_B => 2, f, south
robot_B => 2, e, south
robot_B => 2, e, west
robot_B => 2, e, north
robot_B => 2, e, north
robot_B => 2, f, north
robot_B => 2, f, south
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, south
robot_B => 2, f, south
robot_B => 2, e, south
robot_B => 2, e, west
robot_B => 2, e, north
robot_B => 2, e, north
robot_B => 2, f, north
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, south
robot_B => 2, f, south
robot_B => 2, e, south
robot_B => 2, e, west
robot_B => 2, e, north
robot_B => 2, e, north
robot_B => 2, f, north
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, south
robot_B => 2, f, south
robot_B => 2, e, south
robot_B => 2, e, west
robot_B => 2, e, north
robot_B => 2, e, north
robot_B => 2, f, north
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, south
robot_B => 2, f, south
robot_B => 2, e, south
robot_B => 2, e, west
robot_B => 2, e, north
robot_B => 2, e, north
robot_B => 2, f, north
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, south
robot_B => 2, f, south
robot_B => 2, e, south
robot_B => 2, e, west
robot_B => 2, e, north
robot_B => 2, e, north
robot_B => 2, f, north
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, south
robot_B => 2, f, south
robot_B => 2, e, south
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, south
robot_B => 2, f, south
robot_B => 2, e, south
robot_B => 2, e, west
robot_B => 2, e, north
robot_B => 2, e, north
robot_B => 2, f, north
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, south
robot_B => 2, f, south
robot_B => 2, e, south
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, south
robot_B => 2, f, south
robot_B => 2, e, south
robot_B => 2, f, west
robot_B => 2, f, west
robot_B => 2, f, south
robot_B => 2, f, south
robot_B => 2, e, south
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, west
robot_A => 1, a, south
robot_A => 1, a, east
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 2, a, east
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, west
robot_A => 1, a, south
robot_A => 1, a, east
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, west
robot_A => 1, a, south
robot_A => 1, a, east
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 2, a, east
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, west
robot_A => 1, a, south
robot_A => 1, a, east
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 2, a, east
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, west
robot_A => 1, a, south
robot_A => 1, a, east
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 1, a, north
robot_A => 1, a, west
robot_A => 1, a, south
robot_A => 1, a, east
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 1, a, north
robot_A => 1, a, west
robot_A => 1, a, south
robot_A => 1, a, east
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, west
robot_A => 1, a, south
robot_A => 1, a, east
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_A => 1, a, north
robot_A => 1, a, north
robot_A => 1, a, west
robot_A => 1, a, south
robot_A => 1, a, east
robot_A => 1, a, east
robot_A => 2, a, east
robot_A => 2, a, east
robot_A => 3, a, east
robot_B => 2, f, west
